,balls_bowled,overs_bowled,balls_last_7_days,balls_last_14_days,matches_last_7_days,matches_last_14_days,days_since_last_match,back_to_back_match,short_recovery_flag,overs_last_7_days,overs_last_14_days,fatigue_signal_score
balls_bowled,1.0,0.9999980506243626,0.20671686468074105,0.20776452316172322,0.125805778098649,0.12481468598500785,-0.030808828677706974,0.03712345794760144,0.051316322813090426,0.20671766233640396,0.20776847484947103,0.1881115292104464
overs_bowled,0.9999980506243626,1.0,0.20675806924754433,0.2078082568358232,0.12584207573792552,0.1248606587037549,-0.030888136146076085,0.037167611601848755,0.05134765708482904,0.20675885790161794,0.20781220662045122,0.18815946638515454
balls_last_7_days,0.20671686468074105,0.20675806924754433,1.0,0.8207690760113593,0.9507423512624937,0.771536389206783,-0.4101097053578644,0.28922369181472035,0.4546710455537507,0.9999998766461303,0.8207745219349935,0.9785404758225135
balls_last_14_days,0.20776452316172322,0.2078082568358232,0.8207690760113593,1.0,0.790037503596505,0.9631060463039787,-0.4014649492783164,0.18628566913518294,0.3190138207285966,0.8207676431973894,0.9999999450353909,0.8723759057904076
matches_last_7_days,0.125805778098649,0.12584207573792552,0.9507423512624937,0.790037503596505,1.0,0.8128114630106295,-0.4461180513517078,0.298845867361119,0.4782322761505939,0.9507520434524096,0.7900446968572016,0.9555814531779593
matches_last_14_days,0.12481468598500785,0.1248606587037549,0.771536389206783,0.9631060463039787,0.8128114630106295,1.0,-0.4302629013229734,0.1888837003232916,0.32733978424582266,0.7715433525203117,0.9631074616776115,0.8463917415564559
days_since_last_match,-0.030808828677706974,-0.030888136146076085,-0.4101097053578644,-0.4014649492783164,-0.4461180513517078,-0.4302629013229734,1.0,-0.15149300080599,-0.27034682264576765,-0.41012855377228025,-0.40147898682139155,-0.4438379577406114
back_to_back_match,0.03712345794760144,0.037167611601848755,0.28922369181472035,0.18628566913518294,0.298845867361119,0.1888837003232916,-0.15149300080599,1.0,0.56506531868405,0.2892309968444413,0.18628624022535875,0.40161925236010293
short_recovery_flag,0.051316322813090426,0.05134765708482904,0.4546710455537507,0.3190138207285966,0.4782322761505939,0.32733978424582266,-0.27034682264576765,0.56506531868405,1.0,0.4546911301045203,0.3190244330840988,0.5498125455916003
overs_last_7_days,0.20671766233640396,0.20675885790161794,0.9999998766461303,0.8207676431973894,0.9507520434524096,0.7715433525203117,-0.41012855377228025,0.2892309968444413,0.4546911301045203,1.0,0.8207731747679923,0.9785446689711463
overs_last_14_days,0.20776847484947103,0.20781220662045122,0.8207745219349935,0.9999999450353909,0.7900446968572016,0.9631074616776115,-0.40147898682139155,0.18628624022535875,0.3190244330840988,0.8207731747679923,1.0,0.8723812314124029
fatigue_signal_score,0.1881115292104464,0.18815946638515454,0.9785404758225135,0.8723759057904076,0.9555814531779593,0.8463917415564559,-0.4438379577406114,0.40161925236010293,0.5498125455916003,0.9785446689711463,0.8723812314124029,1.0
